mqtt.js:7 {1: 0, 2: 1, 3: 2, 4: 3, 5: 4, 6: 5}
mqtt.js:15 2 1684347618361 {id: '2', acc_x: 0.055066638, acc_y: 0.318428814, acc_z: 9.588777542, rot_x: -0.025580399, …}
mqtt.js:15 6 1684347618370 {id: '6', acc_x: -23.76005745, acc_y: -9.799467087, acc_z: -0.802057564, rot_x: 0.054358348, …}
mqtt.js:15 5 1684347618374 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 4 1684347618397 {id: '4', acc_x: 34.9697113, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.125503823, …}
mqtt.js:15 6 1684347618423 {id: '6', acc_x: -23.75287437, acc_y: -9.799467087, acc_z: -0.804451764, rot_x: 0.053292494, …}
mqtt.js:15 4 1684347618456 {id: '4', acc_x: 34.43580246, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126836136, …}
mqtt.js:15 6 1684347618477 {id: '6', acc_x: -23.75766373, acc_y: -9.792284966, acc_z: -0.814028561, rot_x: 0.052759573, …}
mqtt.js:15 4 1684347618508 {id: '4', acc_x: 34.63452148, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126569673, …}
mqtt.js:15 6 1684347618535 {id: '6', acc_x: -23.76005745, acc_y: -9.799467087, acc_z: -0.814028561, rot_x: 0.053558957, …}
mqtt.js:15 1 1684347618541 {id: '1', acc_x: 28.94829369, acc_y: -78.45320129, acc_z: 4.218583584, rot_x: 0.085001536, …}
mqtt.js:15 6 1684347618587 {id: '6', acc_x: -23.76963425, acc_y: -9.797073364, acc_z: -0.804451764, rot_x: 0.05489127, …}
mqtt.js:15 1 1684347618597 {id: '1', acc_x: 28.93871689, acc_y: -78.45320129, acc_z: 4.230554581, rot_x: 0.087133229, …}
mqtt.js:15 3 1684347618619 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347618645 {id: '6', acc_x: -23.76245117, acc_y: -9.797073364, acc_z: -0.794874966, rot_x: 0.055157732, …}
mqtt.js:15 3 1684347618675 {id: '3', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 6 1684347618698 {id: '6', acc_x: -23.76724052, acc_y: -9.785101891, acc_z: -0.782903969, rot_x: 0.055157732, …}
mqtt.js:15 2 1684347618703 {id: '2', acc_x: 0.052672438, acc_y: 0.313640416, acc_z: 9.583989143, rot_x: -0.028245023, …}
mqtt.js:15 5 1684347618719 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 5 1684347618775 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 5 1684347618828 {id: '5', acc_x: 0, acc_y: 0, acc_z: 0, rot_x: 0, …}
mqtt.js:15 4 1684347618865 {id: '4', acc_x: 35.03195953, acc_y: -78.45320129, acc_z: 78.45080566, rot_x: 0.126569673, …}
