mqtt.js:5 s1: {"acc_x":0.660799682,"acc_y":3.193865061,"acc_z":11.5783596,"rot_x":0.226759583,"rot_y":0.760217428,"rot_z":-0.366385907}
mqtt.js:5 s1: {"acc_x":1.18752408,"acc_y":3.062183857,"acc_z":11.08994198,"rot_x":0.334943324,"rot_y":0.794324696,"rot_z":-0.216367543}
mqtt.js:5 s1: {"acc_x":1.556231141,"acc_y":3.134010077,"acc_z":10.28309631,"rot_x":0.160410419,"rot_y":0.641908109,"rot_z":-0.282716691}
mqtt.js:5 s1: {"acc_x":1.766920805,"acc_y":2.832340717,"acc_z":9.825803757,"rot_x":0.166539043,"rot_y":0.558238924,"rot_z":-0.298970878}
mqtt.js:5 s1: {"acc_x":1.704671621,"acc_y":2.667140722,"acc_z":9.136273384,"rot_x":0.085267991,"rot_y":0.451387435,"rot_z":-0.455117911}
mqtt.js:5 s1: {"acc_x":1.642422318,"acc_y":2.518700123,"acc_z":8.779537201,"rot_x":0.088199086,"rot_y":0.397295564,"rot_z":-0.361056656}
mqtt.js:5 s1: {"acc_x":1.175553083,"acc_y":2.389413357,"acc_z":8.221688271,"rot_x":-0.069546707,"rot_y":0.254738122,"rot_z":-0.265130162}
mqtt.js:5 s1: {"acc_x":0.950498104,"acc_y":2.286462545,"acc_z":7.91762495,"rot_x":-0.078606427,"rot_y":0.259800911,"rot_z":-0.23422052}
mqtt.js:5 s1: {"acc_x":0.945709646,"acc_y":2.30561614,"acc_z":7.91762495,"rot_x":-0.113779478,"rot_y":0.244346097,"rot_z":-0.202245027}
mqtt.js:5 s1: {"acc_x":1.256955862,"acc_y":2.49236393,"acc_z":7.738059998,"rot_x":-0.090064317,"rot_y":0.187856048,"rot_z":-0.217433393}
mqtt.js:5 s1: {"acc_x":1.687912226,"acc_y":2.592920542,"acc_z":7.821856976,"rot_x":-0.061819296,"rot_y":-0.033840735,"rot_z":-0.171601832}
mqtt.js:5 s1: {"acc_x":1.810016513,"acc_y":2.336740971,"acc_z":8.042123795,"rot_x":-0.054358348,"rot_y":-0.226493105,"rot_z":-0.093794793}
mqtt.js:5 s1: {"acc_x":1.417367458,"acc_y":2.312798738,"acc_z":8.487444878,"rot_x":-0.153748855,"rot_y":-0.393298626,"rot_z":-0.058888208}
mqtt.js:5 s1: {"acc_x":1.359906554,"acc_y":2.509123325,"acc_z":8.925583839,"rot_x":-0.196116373,"rot_y":-0.522000015,"rot_z":0.019984685}
mqtt.js:5 s1: {"acc_x":1.656787634,"acc_y":2.686294317,"acc_z":9.490615845,"rot_x":-0.17346707,"rot_y":-0.65443182,"rot_z":0.202777937}
mqtt.js:5 s1: {"acc_x":1.848323703,"acc_y":2.767697096,"acc_z":10.25915432,"rot_x":-0.150551304,"rot_y":-0.866269529,"rot_z":0.306964755}
mqtt.js:5 s1: {"acc_x":1.912967205,"acc_y":2.901772499,"acc_z":10.9055891,"rot_x":-0.028777948,"rot_y":-0.972588003,"rot_z":0.486826956}
mqtt.js:5 s1: {"acc_x":1.582567334,"acc_y":3.074155092,"acc_z":11.53526402,"rot_x":0.04769678,"rot_y":-1.11567843,"rot_z":0.370116383}
mqtt.js:5 s1: {"acc_x":0.785298169,"acc_y":3.493140221,"acc_z":12.02128696,"rot_x":-0.144689128,"rot_y":-1.148719788,"rot_z":0.181460962}
mqtt.js:5 s1: {"acc_x":0.656011283,"acc_y":3.366247654,"acc_z":12.48097324,"rot_x":-0.144156188,"rot_y":-1.084768772,"rot_z":0.332012266}
mqtt.js:5 s1: {"acc_x":0.586579442,"acc_y":3.428496838,"acc_z":12.83052731,"rot_x":-0.058621746,"rot_y":-1.088232756,"rot_z":0.61606127}
mqtt.js:5 s1: {"acc_x":0.864306808,"acc_y":3.608062029,"acc_z":12.82573891,"rot_x":0.001332312,"rot_y":-1.109816194,"rot_z":0.620324671}
mqtt.js:5 s1: {"acc_x":0.622492433,"acc_y":3.849876404,"acc_z":12.63180828,"rot_x":-0.129234299,"rot_y":-1.134064317,"rot_z":0.490823895}
mqtt.js:5 s1: {"acc_x":0.169988319,"acc_y":3.82593441,"acc_z":12.38041687,"rot_x":-0.085267991,"rot_y":-0.989641666,"rot_z":0.580888212}
mqtt.js:5 s1: {"acc_x":0.181959331,"acc_y":3.600879431,"acc_z":12.27267838,"rot_x":-0.051960181,"rot_y":-0.976318538,"rot_z":0.55264318}
mqtt.js:5 s1: {"acc_x":-0.019153614,"acc_y":3.426102638,"acc_z":11.5927248,"rot_x":-0.031176111,"rot_y":-0.953935683,"rot_z":0.503081143}
mqtt.js:5 s1: {"acc_x":-0.114921682,"acc_y":3.514688015,"acc_z":10.84573364,"rot_x":-0.093261868,"rot_y":-0.907571197,"rot_z":0.483362943}
mqtt.js:5 s1: {"acc_x":-0.48123455,"acc_y":3.488351822,"acc_z":10.32379818,"rot_x":-0.224361405,"rot_y":-0.895846844,"rot_z":0.392499238}
mqtt.js:5 s1: {"acc_x":-0.758961916,"acc_y":3.394978046,"acc_z":9.765948296,"rot_x":-0.122839205,"rot_y":-0.695467055,"rot_z":0.430603355}
