mqtt.js:5 s1: {"acc_x":-5.901707172,"acc_y":0.81642276,"acc_z":9.284713745,"rot_x":0.956866801,"rot_y":-1.038137794,"rot_z":0.136695251}
mqtt.js:5 s1: {"acc_x":-7.122750282,"acc_y":0.407014281,"acc_z":4.527435303,"rot_x":1.948906541,"rot_y":-0.132698312,"rot_z":-0.341604888}
mqtt.js:5 s1: {"acc_x":-7.54891777,"acc_y":1.956062794,"acc_z":4.553771496,"rot_x":0.862006128,"rot_y":-0.507611036,"rot_z":0.039169986}
mqtt.js:5 s1: {"acc_x":-6.612784863,"acc_y":1.78368032,"acc_z":5.657498837,"rot_x":0.571828485,"rot_y":-0.687206745,"rot_z":0.031176111}
mqtt.js:5 s1: {"acc_x":-6.610390663,"acc_y":0.955286503,"acc_z":5.664681435,"rot_x":0.201179162,"rot_y":-0.119908117,"rot_z":-0.158545166}
mqtt.js:5 s1: {"acc_x":-6.890512466,"acc_y":2.30561614,"acc_z":5.343858242,"rot_x":-0.1854579,"rot_y":0.011457887,"rot_z":-0.064483918}
mqtt.js:5 s1: {"acc_x":-6.677428722,"acc_y":2.355894566,"acc_z":5.691017628,"rot_x":-0.402091891,"rot_y":-0.052759573,"rot_z":0.263264924}
mqtt.js:5 s1: {"acc_x":-6.639121532,"acc_y":2.183511972,"acc_z":5.612008572,"rot_x":-0.211304754,"rot_y":-0.003996937,"rot_z":0.147886679}
mqtt.js:5 s1: {"acc_x":-6.823474884,"acc_y":1.400607944,"acc_z":5.779603004,"rot_x":-0.283782542,"rot_y":-0.06981317,"rot_z":0.042900458}
mqtt.js:5 s1: {"acc_x":-8.001421928,"acc_y":1.285686255,"acc_z":5.789179802,"rot_x":-0.571295559,"rot_y":-0.009059724,"rot_z":0.322153151}
mqtt.js:5 s1: {"acc_x":-6.785167694,"acc_y":2.248155355,"acc_z":4.924872875,"rot_x":-0.923026085,"rot_y":-0.414082706,"rot_z":1.056523681}
mqtt.js:5 s1: {"acc_x":-5.008669853,"acc_y":4.450820923,"acc_z":7.268796444,"rot_x":-1.282750368,"rot_y":-0.390101075,"rot_z":1.895347595}
mqtt.js:5 s1: {"acc_x":-4.034229755,"acc_y":3.500322819,"acc_z":6.847416878,"rot_x":0.587549806,"rot_y":0.460980088,"rot_z":0.314425707}
